geometry,data,zone,name,id,type
"MULTIPOLYGON (((100.544922 13.763501, 100.563317 13.758282, 100.561692 13.75118, 100.51812 13.755731, 100.526657 13.776952, 100.544922 13.763501)))",80,,เขตราชเทวี,1037,3
"MULTIPOLYGON (((100.607482 13.852342, 100.636323 13.84777, 100.609887 13.79764, 100.587029 13.80577, 100.588502 13.846591, 100.607482 13.852342)))",80,,เขตลาดพร้าว,1038,3
"MULTIPOLYGON (((100.556922 13.751752, 100.602913 13.74133, 100.604729 13.710231, 100.549378 13.746161, 100.556922 13.751752)))",80,,,1039,3
"MULTIPOLYGON (((100.362639 13.75709, 100.411584 13.751242, 100.416992 13.735151, 100.422891 13.735942, 100.425904 13.690231, 100.38585 13.67193, 100.349739 13.755401, 100.362639 13.75709)))",80,,,1040,3
"MULTIPOLYGON (((100.586425 13.892261, 100.593712 13.89041, 100.585122 13.862169, 100.546249 13.85393, 100.560692 13.915339, 100.586182 13.901731, 100.586425 13.892261)))",80,,,1041,3
"MULTIPOLYGON (((100.662635 13.92934, 100.690812 13.92893, 100.682678 13.914849, 100.69156 13.900251, 100.683936 13.876931, 100.652466 13.889179, 100.607033 13.89121, 100.62551 13.928731, 100.622643 13.94472, 100.641647 13.9306, 100.662635 13.92934)))",80,,,1042,3
"MULTIPOLYGON (((100.672417 13.857461, 100.685044 13.848, 100.703568 13.800291, 100.670639 13.78239, 100.675271 13.78954, 100.660974 13.833641, 100.648049 13.836771, 100.647499 13.848761, 100.672417 13.857461)))",80,,,1043,3
"MULTIPOLYGON (((100.709686 13.792161, 100.715285 13.77989, 100.705239 13.76052, 100.706803 13.735119, 100.657311 13.740331, 100.677971 13.75551, 100.66883 13.759471, 100.663841 13.778691, 100.70482 13.80074, 100.709686 13.792161)))",80,,,1044,3
"MULTIPOLYGON (((100.587959 13.8053, 100.604622 13.797891, 100.622178 13.802859, 100.628724 13.766202, 100.602081 13.754551, 100.593192 13.765181, 100.587959 13.8053)))",80,,,1045,3
"MULTIPOLYGON (((100.792587 13.929851, 100.798187 13.895741, 100.787406 13.881752, 100.799317 13.852622, 100.748139 13.825031, 100.733589 13.84351, 100.728675 13.83456, 100.719361 13.84238, 100.711457 13.825152, 100.69587 13.818551, 100.683198 13.850831, 100.66996 13.855861, 100.681365 13.86353, 100.691482 13.889191, 100.682733 13.914439, 100.686691 13.92248, 100.752602 13.9169, 100.792587 13.929851)))",80,,,1046,3
"MULTIPOLYGON (((100.632234 13.687341, 100.656648 13.670451, 100.648536 13.6507, 100.581069 13.66721, 100.590462 13.685969, 100.632234 13.687341)))",80,,,1047,3
"MULTIPOLYGON (((100.33493 13.802841, 100.408669 13.800031, 100.404038 13.75275, 100.350136 13.75557, 100.356461 13.741252, 100.332703 13.739531, 100.329713 13.8012, 100.319992 13.821471, 100.33493 13.802841)))",80,,,1048,3
"MULTIPOLYGON (((100.519287 13.664101, 100.521598 13.60436, 100.475586 13.60238, 100.479974 13.61858, 100.470741 13.627211, 100.469535 13.661521, 100.482597 13.66602, 100.484398 13.658401, 100.497222 13.655851, 100.503196 13.664951, 100.519287 13.664101)))",80,,,1049,3
"MULTIPOLYGON (((100.430223 13.671809, 100.374017 13.623601, 100.356262 13.639261, 100.339301 13.642091, 100.342278 13.659092, 100.380439 13.675779, 100.390992 13.671809, 100.435891 13.696469, 100.445342 13.685349, 100.430223 13.671809)))",80,,,1050,3
,80,,บ้านทะวาย*,1081,3
"MULTIPOLYGON (((100.598359 13.662079, 100.645667 13.651151, 100.630638 13.627332, 100.671898 13.6119, 100.688889 13.53365, 100.777916 13.51977, 100.791482 13.501362, 100.787247 13.492781, 100.639283 13.517972, 100.583893 13.553611, 100.57833 13.56889, 100.594437 13.58917, 100.59417 13.60694, 100.552888 13.61636, 100.569129 13.6361, 100.589019 13.631961, 100.593299 13.659771, 100.580299 13.667121, 100.598359 13.662079)))",80,,เมืองสมุทรปราการ,1101,3
"MULTIPOLYGON (((100.936348 13.668192, 100.95668 13.661872, 100.948822 13.65299, 100.963837 13.643001, 100.961831 13.63328, 100.925025 13.59273, 100.908515 13.590241, 100.916458 13.570401, 100.906006 13.553561, 100.891251 13.563151, 100.881332 13.547459, 100.872482 13.48889, 100.853606 13.49446, 100.848893 13.478331, 100.821662 13.49, 100.787247 13.492781, 100.791482 13.501362, 100.778267 13.518471, 100.779876 13.5345, 100.764061 13.553761, 100.805259 13.542131, 100.810706 13.56933, 100.832107 13.566071, 100.843072 13.602681, 100.83744 13.6201, 100.860122 13.670079, 100.861991 13.696112, 100.936348 13.668192)))",80,,บางบ่อ,1102,3
"MULTIPOLYGON (((100.72251 13.71782, 100.787071 13.715281, 100.765381 13.67435, 100.795197 13.675921, 100.786132 13.65103, 100.786606 13.61267, 100.763961 13.559331, 100.766778 13.54456, 100.779876 13.5345, 100.777916 13.51977, 100.689522 13.533089, 100.671898 13.6119, 100.630638 13.627332, 100.656648 13.670451, 100.667923 13.674492, 100.668579 13.665261, 100.699851 13.654791, 100.713218 13.694181, 100.711219 13.717002, 100.72251 13.71782)))",80,,บางพลี,1103,3
"MULTIPOLYGON (((100.580985 13.66811, 100.593299 13.659771, 100.588661 13.631382, 100.569129 13.6361, 100.5271 13.59784, 100.51574 13.627031, 100.521522 13.67714, 100.54551 13.669311, 100.553063 13.700531, 100.560792 13.705951, 100.58911 13.69107, 100.580985 13.66811)))",80,,พระประแดง,1104,3
"MULTIPOLYGON (((100.557221 13.612221, 100.589149 13.603891, 100.573327 13.56528, 100.588333 13.534999, 100.583335 13.523891, 100.572502 13.514442, 100.531387 13.505831, 100.520547 13.51056, 100.488609 13.500833, 100.453246 13.501585, 100.445251 13.55493, 100.455537 13.60426, 100.468017 13.602811, 100.470832 13.59265, 100.481941 13.607041, 100.524178 13.60442, 100.5271 13.59784, 100.551452 13.6177, 100.557221 13.612221)))",80,,พระสมุทรเจดีย์,1105,3
"MULTIPOLYGON (((100.788001 13.715261, 100.860191 13.688351, 100.860122 13.670079, 100.83744 13.6201, 100.843072 13.602681, 100.832595 13.567101, 100.810706 13.56933, 100.805259 13.542131, 100.785508 13.543551, 100.763931 13.557959, 100.786606 13.61267, 100.786132 13.65103, 100.795197 13.675921, 100.765381 13.67435, 100.788001 13.715261)))",80,,บางเสาธง,1106,3
"MULTIPOLYGON (((100.522163 13.885711, 100.551582 13.876621, 100.545059 13.8489, 100.508347 13.81653, 100.49356 13.810301, 100.463867 13.835002, 100.445313 13.82759, 100.430542 13.831132, 100.449119 13.860982, 100.450318 13.88811, 100.486604 13.885711, 100.499068 13.89366, 100.522163 13.885711)))",80,,เมืองนนทบุรี,1201,3
"MULTIPOLYGON (((100.43502 13.82878, 100.463867 13.835002, 100.49356 13.810301, 100.503472 13.817539, 100.516853 13.812081, 100.471482 13.7883, 100.460319 13.796849, 100.33072 13.80316, 100.319992 13.821471, 100.367599 13.81637, 100.399741 13.830412, 100.403794 13.823021, 100.425407 13.836251, 100.43502 13.82878)))",80,,บางกรวย,1202,3
"MULTIPOLYGON (((100.381219 13.903821, 100.392022 13.901291, 100.401451 13.881551, 100.425751 13.862851, 100.446265 13.868861, 100.449119 13.860982, 100.435868 13.837671, 100.367599 13.81637, 100.319992 13.821471, 100.297989 13.867769, 100.301148 13.874771, 100.334617 13.87485, 100.340523 13.88515, 100.34336 13.873791, 100.3582 13.86583, 100.381219 13.903821)))",80,,บางใหญ่,1203,3
"MULTIPOLYGON (((100.383751 13.98669, 100.390121 13.991342, 100.417747 13.983191, 100.45404 13.94389, 100.450439 13.866502, 100.438361 13.869782, 100.425751 13.862851, 100.401451 13.881551, 100.392022 13.901291, 100.378122 13.90439, 100.360939 13.867411, 100.350448 13.866311, 100.340523 13.88515, 100.332459 13.87529, 100.327728 13.91949, 100.357621 13.94936, 100.351241 13.953469, 100.355957 13.99832, 100.383751 13.98669)))",80,,บางบัวทอง,1204,3
"MULTIPOLYGON (((100.332001 13.877832, 100.302741 13.876911, 100.297989 13.867769, 100.276176 13.913252, 100.26522 13.920121, 100.298881 13.962091, 100.271089 13.986562, 100.276611 14.000501, 100.26641 14.007991, 100.2808 14.12432, 100.300073 14.139171, 100.336425 14.12623, 100.345427 14.113932, 100.332878 14.053849, 100.356422 14.000401, 100.351241 13.953469, 100.357621 13.94936, 100.327728 13.91949, 100.332001 13.877832)))",80,,ไทรน้อย,1205,3
"MULTIPOLYGON (((100.45375 13.966419, 100.464309 13.97067, 100.501427 13.935991, 100.532822 13.944052, 100.541549 13.95493, 100.568673 13.94902, 100.551582 13.876621, 100.499068 13.89366, 100.486604 13.885711, 100.450318 13.88811, 100.455063 13.94183, 100.417747 13.983191, 100.45375 13.966419)))",80,,ปากเกร็ด,1206,3
,80,,สาขาแขวงท่าทราย,1251,3
,80,,เทศบาลตำบลปากเกร็ด,1297,3
"MULTIPOLYGON (((100.59198 14.04798, 100.607063 13.944651, 100.541549 13.95493, 100.532822 13.944052, 100.501427 13.935991, 100.468293 13.96652, 100.483627 13.984051, 100.449531 14.014821, 100.459931 14.026151, 100.481726 14.014972, 100.496917 14.046342, 100.522056 14.030641, 100.543571 14.02908, 100.556619 14.040541, 100.582282 14.040031, 100.592132 14.060251, 100.59198 14.04798)))",80,,เมืองปทุมธานี,1301,3
"MULTIPOLYGON (((100.7567 14.132561, 100.757103 14.04236, 100.680962 14.00872, 100.602218 13.99433, 100.581612 14.126, 100.606042 14.1335, 100.618889 14.12791, 100.623138 14.142542, 100.756768 14.21002, 100.7567 14.132561)))",80,,คลองหลวง,1302,3
"MULTIPOLYGON (((100.609971 13.963641, 100.602218 13.99433, 100.680962 14.00872, 100.915177 14.098511, 100.91597 14.067041, 100.697182 13.987141, 100.609971 13.963641)))",80,,ธัญบุรี,1303,3
"MULTIPOLYGON (((100.892807 14.250482, 100.894416 14.24312, 100.952897 14.271981, 100.94745 14.235811, 100.91574 14.219041, 100.915177 14.098511, 100.757103 14.04236, 100.756768 14.21002, 100.892502 14.27328, 100.892807 14.250482)))",80,,หนองเสือ,1304,3
"MULTIPOLYGON (((100.396621 14.113991, 100.423242 14.112902, 100.425186 14.098178, 100.473679 14.075581, 100.482262 14.068431, 100.482536 14.055171, 100.496917 14.046342, 100.487481 14.017251, 100.459931 14.026151, 100.449531 14.014821, 100.48223 13.987909, 100.468293 13.96652, 100.391083 13.991171, 100.363793 13.991401, 100.345557 14.01919, 100.332703 14.05658, 100.345427 14.113932, 100.396621 14.113991)))",80,,ลาดหลุมแก้ว,1305,3
"MULTIPOLYGON (((100.915519 13.95715, 100.915145 13.944262, 100.82183 13.935681, 100.729949 13.91569, 100.708138 13.916889, 100.690812 13.92893, 100.641647 13.9306, 100.641084 13.93659, 100.626618 13.93705, 100.626449 13.948002, 100.607118 13.95258, 100.605987 13.963331, 100.692382 13.98553, 100.91597 14.067041, 100.915519 13.95715)))",80,,ลำลูกกา,1306,3
"MULTIPOLYGON (((100.547311 14.113392, 100.581612 14.126, 100.592132 14.060251, 100.582282 14.040031, 100.556619 14.040541, 100.543571 14.02908, 100.522056 14.030641, 100.482536 14.055171, 100.482262 14.068431, 100.473679 14.075581, 100.423187 14.101959, 100.423242 14.112902, 100.478821 14.11011, 100.517479 14.126941, 100.547311 14.113392)))",80,,สามโคก,1307,3
,80,,,1351,3
"MULTIPOLYGON (((100.530297 14.404371, 100.571488 14.403491, 100.579324 14.3959, 100.615929 14.391631, 100.616202 14.358971, 100.604203 14.355199, 100.604362 14.348471, 100.632439 14.32183, 100.585534 14.319341, 100.587738 14.30176, 100.548995 14.299041, 100.527528 14.280261, 100.508019 14.32144, 100.522523 14.37033, 100.504889 14.39974, 100.530297 14.404371)))",80,,พระนครศรีอยุธยา,1401,3
"MULTIPOLYGON (((100.692116 14.582791, 100.702019 14.572539, 100.71624 14.579081, 100.71743 14.570322, 100.731162 14.570119, 100.731431 14.580421, 100.743203 14.568742, 100.783867 14.566541, 100.776658 14.54965, 100.780533 14.530421, 100.74942 14.516391, 100.759505 14.488891, 100.749498 14.485331, 100.727983 14.50296, 100.694839 14.493141, 100.674751 14.498871, 100.65982 14.506862, 100.650239 14.53022, 100.623787 14.544513, 100.625 14.5537, 100.67205 14.553361, 100.675567 14.580241, 100.692116 14.582791)))",80,,ท่าเรือ,1402,3
"MULTIPOLYGON (((100.605499 14.552861, 100.624938 14.553301, 100.625344 14.542621, 100.650239 14.53022, 100.65982 14.506862, 100.690101 14.494, 100.690751 14.485201, 100.682343 14.47427, 100.685089 14.450011, 100.653236 14.43305, 100.661056 14.41561, 100.615929 14.391631, 100.576126 14.3968, 100.581382 14.426322, 100.599052 14.43743, 100.576554 14.455239, 100.575219 14.464951, 100.564849 14.466329, 100.586838 14.486001, 100.60131 14.513362, 100.594758 14.53704, 100.605499 14.552861)))",80,,นครหลวง,1403,3
"MULTIPOLYGON (((100.509247 14.316971, 100.527528 14.280261, 100.535286 14.16268, 100.579948 14.138111, 100.582938 14.126891, 100.554169 14.1117, 100.517479 14.126941, 100.492691 14.1131, 100.464897 14.111429, 100.455063 14.114921, 100.456467 14.133621, 100.440018 14.144851, 100.408065 14.21397, 100.438881 14.259231, 100.432762 14.306459, 100.448884 14.32113, 100.482506 14.31605, 100.499413 14.32991, 100.510749 14.32493, 100.509247 14.316971)))",80,,บางไทร,1404,3
"MULTIPOLYGON (((100.511818 14.438782, 100.504889 14.39974, 100.522812 14.367182, 100.515107 14.32944, 100.499413 14.32991, 100.482506 14.31605, 100.452317 14.32229, 100.432762 14.306459, 100.42057 14.33491, 100.442231 14.362891, 100.416573 14.373101, 100.41474 14.437931, 100.433311 14.44633, 100.443122 14.436231, 100.46128 14.437749, 100.500946 14.45913, 100.511818 14.438782)))",80,,บางบาล,1405,3
"MULTIPOLYGON (((100.632439 14.32183, 100.64901 14.30535, 100.670678 14.31105, 100.685349 14.294622, 100.67804 14.26771, 100.64344 14.232112, 100.644805 14.210522, 100.615571 14.190971, 100.620232 14.12904, 100.606042 14.1335, 100.582938 14.126891, 100.579948 14.138111, 100.535286 14.16268, 100.524132 14.27578, 100.548995 14.299041, 100.587738 14.30176, 100.585534 14.319341, 100.632439 14.32183)))",80,,บางปะอิน,1406,3
"MULTIPOLYGON (((100.600959 14.52525, 100.586838 14.486001, 100.564849 14.466329, 100.575219 14.464951, 100.576554 14.455239, 100.599052 14.43743, 100.581382 14.426322, 100.57624 14.402331, 100.507638 14.40441, 100.513267 14.43727, 100.501359 14.455269, 100.496498 14.506992, 100.509423 14.53103, 100.520882 14.519071, 100.546388 14.522752, 100.569931 14.54364, 100.602562 14.554341, 100.604469 14.54302, 100.594758 14.53704, 100.600959 14.52525)))",80,,บางปะหัน,1407,3
"MULTIPOLYGON (((100.410041 14.509031, 100.419151 14.47871, 100.418929 14.44324, 100.41082 14.428282, 100.418419 14.397632, 100.401237 14.403471, 100.282279 14.401939, 100.273972 14.42804, 100.249359 14.43547, 100.245177 14.459419, 100.258797 14.48947, 100.279068 14.485809, 100.28965 14.49648, 100.321578 14.487731, 100.410041 14.509031)))",80,,ผักไห่,1408,3
"MULTIPOLYGON (((100.735627 14.497891, 100.749498 14.485331, 100.766671 14.496492, 100.772729 14.49215, 100.765969 14.482771, 100.773697 14.481901, 100.767432 14.47659, 100.771218 14.463389, 100.76265 14.450341, 100.769372 14.42077, 100.760688 14.412551, 100.780708 14.40892, 100.782563 14.39698, 100.797988 14.389181, 100.778358 14.361899, 100.757408 14.376139, 100.748848 14.392732, 100.713257 14.39894, 100.71769 14.41302, 100.691361 14.404052, 100.684098 14.41075, 100.667604 14.401272, 100.653236 14.43305, 100.685089 14.450011, 100.682343 14.47427, 100.690666 14.481221, 100.690101 14.494, 100.721177 14.503541, 100.735627 14.497891)))",80,,ภาชี,1409,3
"MULTIPOLYGON (((100.328003 14.224281, 100.408065 14.21397, 100.440018 14.144851, 100.456467 14.133621, 100.455063 14.114921, 100.34829 14.112722, 100.336425 14.12623, 100.300073 14.139171, 100.2808 14.12432, 100.28485 14.1689, 100.247481 14.173071, 100.245918 14.220759, 100.257156 14.213872, 100.300437 14.21526, 100.328003 14.224281)))",80,,ลาดบัวหลวง,1410,3
"MULTIPOLYGON (((100.822854 14.328291, 100.82534 14.242641, 100.621932 14.141801, 100.615571 14.190971, 100.644805 14.210522, 100.64344 14.232112, 100.67804 14.26771, 100.690201 14.305561, 100.731347 14.296263, 100.784088 14.322122, 100.822854 14.328291)))",80,,วังน้อย,1411,3
"MULTIPOLYGON (((100.414392 14.40147, 100.416573 14.373101, 100.442231 14.362891, 100.42057 14.33491, 100.429222 14.325381, 100.438881 14.259231, 100.422127 14.243081, 100.416222 14.217999, 100.380966 14.213329, 100.328003 14.224281, 100.304009 14.215531, 100.27574 14.21797, 100.32553 14.297081, 100.345947 14.306961, 100.347969 14.330361, 100.334098 14.343072, 100.349327 14.378542, 100.358886 14.383991, 100.354553 14.400419, 100.414392 14.40147)))",80,,เสนา,1412,3
"MULTIPOLYGON (((100.343041 14.40289, 100.354553 14.400419, 100.358886 14.383991, 100.349327 14.378542, 100.334098 14.343072, 100.347969 14.330361, 100.345947 14.306961, 100.32553 14.297081, 100.27574 14.21797, 100.244332 14.21712, 100.243737 14.28355, 100.268402 14.324442, 100.268096 14.38178, 100.285399 14.403131, 100.343041 14.40289)))",80,,บางซ้าย,1413,3
"MULTIPOLYGON (((100.661056 14.41561, 100.667604 14.401272, 100.684098 14.41075, 100.691361 14.404052, 100.720657 14.411961, 100.713257 14.39894, 100.748848 14.392732, 100.76062 14.3734, 100.778358 14.361899, 100.787858 14.366731, 100.793556 14.361701, 100.773873 14.326972, 100.784088 14.322122, 100.731347 14.296263, 100.694046 14.307212, 100.68309 14.298492, 100.670678 14.31105, 100.64901 14.30535, 100.604203 14.355199, 100.616202 14.358971, 100.615929 14.391631, 100.661056 14.41561)))",80,,อุทัย,1414,3
"MULTIPOLYGON (((100.531738 14.619032, 100.58339 14.624691, 100.576607 14.595041, 100.604554 14.576589, 100.602562 14.554341, 100.569931 14.54364, 100.546388 14.522752, 100.520882 14.519071, 100.513138 14.533051, 100.496498 14.506992, 100.492653 14.547979, 100.479347 14.564371, 100.492974 14.579402, 100.493592 14.610843, 100.504142 14.628761, 100.531738 14.619032)))",80,,มหาราช,1415,3
"MULTIPOLYGON (((100.51097 14.672992, 100.51564 14.66032, 100.550103 14.670912, 100.554641 14.65976, 100.583627 14.663972, 100.603881 14.653731, 100.580039 14.62271, 100.531738 14.619032, 100.500573 14.63378, 100.498168 14.652943, 100.51097 14.672992)))",80,,บ้านแพรก,1416,3
