ชื่ออำเภอ (ภาษาอังกฤษ),ชื่ออำเภอ (ภาษาไทย) ,รหัสอำเภอ
Mueang Chai Nat,เมืองชัยนาท,18010000
Mueang Chaiyaphum,เมืองชัยภูมิ,36010000
Mueang Chan,เมืองจันทร์,33180000
Mueang Chanthaburi,เมืองจันทบุรี,22010000
Mueang Chiang Mai,เมืองเชียงใหม่,50010000
Mueang Chiang Rai,เมืองเชียงราย,57010000
Mueang Chon Buri,เมืองชลบุรี,20010000
Mueang Chumphon,เมืองชุมพร,86010000
Mueang Kalasin,เมืองกาฬสินธุ์,46010000
Mueang Kamphaeng Phet,เมืองกำแพงเพชร,62010000
Mueang Kanchanaburi,เมืองกาญจนบุรี,71010000
Mueang Khon Kaen,เมืองขอนแก่น,40010000
Mueang Krabi,เมืองกระบี่,81010000
Mueang Lampang,เมืองลำปาง,52010000
Mueang Lamphun,เมืองลำพูน,51010000
Mueang Loei,เมืองเลย,42010000
Mueang Lop Buri,เมืองลพบุรี,16010000
Mueang Mae Hong Son,เมืองแม่ฮ่องสอน,58010000
Mueang Maha Sarakham,เมืองมหาสารคาม,44010000
Mueang Mukdahan,เมืองมุกดาหาร,49010000
Mueang Nakhon Nayok,เมืองนครนายก,26010000
Mueang Nakhon Phanom,เมืองนครพนม,48010000
Mueang Nakhon Ratchasima,เมืองนครราชสีมา,30010000
Mueang Nakhon Sawan,เมืองนครสวรรค์,60010000
Mueang Nakhon Si Thammarat,เมืองนครศรีธรรมราช,80010000
Mueang Nan,เมืองน่าน,55010000
Mueang Narathiwat,เมืองนราธิวาส,96010000
Mueang Nong Bua Lam Phu,เมืองหนองบัวลำภู,39010000
Mueang Nong Khai,เมืองหนองคาย,43010000
Mueang Nonthaburi,เมืองนนทบุรี,12010000
Mueang Pan,เมืองปาน,52130000
Mueang Pathum Thani,เมืองปทุมธานี,13010000
Mueang Pattani,เมืองปัตตานี,94010000
Mueang Phang-nga,เมืองพังงา,82010000
Mueang Phatthalung,เมืองพัทลุง,93010000
Mueang Phayao,ภูซาง,56080000
Mueang Phayao,ภูกามยาว,56090000
Mueang Phayao,แม่ใจ,56070000
Mueang Phayao,ปง,56060000
Mueang Phayao,ดอกคำใต้,56050000
Mueang Phayao,เชียงม่วน,56040000
Mueang Phayao,เชียงคำ,56030000
Mueang Phayao,จุน,56020000
Mueang Phayao,เมืองพะเยา,56010000
Mueang Phetchabun,เมืองเพชรบูรณ์,67010000
Mueang Phetchaburi,เมืองเพชรบุรี,76010000
Mueang Phichit,เมืองพิจิตร,66010000
Mueang Phitsanulok,เมืองพิษณุโลก,65010000
Mueang Phrae,ร้องกวาง,54020000
Mueang Phrae,เมืองแพร่,54010000
Mueang Phuket,เมืองภูเก็ต,83010000
Mueang Prachin Buri,เมืองปราจีนบุรี,25010000
Mueang Prachuap Khiri Khan,เมืองประจวบคีรีขันธ์,77010000
Mueang Ranong,เมืองระนอง,85010000
Mueang Ratchaburi,เมืองราชบุรี,70010000
Mueang Rayong,เมืองระยอง,21010000
Mueang Roi Et,เมืองร้อยเอ็ด,45010000
Mueang Sa Kaeo,เมืองสระแก้ว,27010000
Mueang Sakon Nakhon,เมืองสกลนคร,47010000
Mueang Samut Prakan,เมืองสมุทรปราการ,11010000
Mueang Samut Sakhon,เมืองสมุทรสาคร,74010000
Mueang Samut Songkhram,เมืองสมุทรสงคราม,75010000
Mueang Saphan Buri,เมืองสุพรรณบุรี,72010000
Mueang Saraburi,เมืองสระบุรี,19010000
Mueang Satun,เมืองสตูล,91010000
Mueang Si Sa Ket,เมืองศรีสะเกษ,33010000
Mueang Sing Buri,เมืองสิงห์บุรี,17010000
Mueang Suang,เมืองสรวง,45120000
Mueang Sukhothai,เมืองสุโขทัย,64010000
Mueang Surat Thani,เมืองสุราษฎร์ธานี,84010000
Mueang Surin,เมืองสุรินทร์,32010000
Mueang Tak,เมืองตาก,63010000
Mueang Trang,เมืองตรัง,92010000
Mueang Trat,เมืองตราด,23010000
Mueang Ubon Ratchathani,เมืองอุบลราชธานี,34010000
Mueang Udon Thani,เมืองอุดรธานี,41010000
Mueang Uthai Thani,เมืองอุทัยธานี,61010000
Mueang Uttaradit,เมืองอุตรดิตถ์,53010000
Mueang Yala,เมืองยะลา,95010000
Mueang Yang,เมืองยาง,30270000
Mueang Yasothon,เมืองยโสธร,35010000
Na Bon,นาบอน,80100000
Na Chaluai,นาจะหลวย,34080000
Na Chueak,นาเชือก,44070000
Na Di,นาดี,25030000
Na Duang,นาด้วง,42020000
Na Dun,นาดูน,44100000
Na Haeo,นาแห้ว,42060000
Na Kae,นาแก,48070000
Na Khu,นาคู,46160000
Na Klang,นากลาง,39020000
Na Mom,นาหม่อม,90120000
Na Mon,นามน,46020000
Na Muen,นาหมื่น,55100000
Na Noi,นาน้อย,55040000
Na Pho,นาโพธิ์,31130000
Na Tan,นาตาล,34300000
Na Thawi,นาทวี,90040000
Na Thom,นาทม,48110000
Na Wa,นาหว้า,48090000
Na Wang,นาวัง,39060000
Na Yai Am,นายายอาม,22090000
Na Yia,นาเยีย,34290000
Na Yong,นาโยง,92080000
Na Yung,นายูง,41220000
Nakhon Chai Si,นครชัยศรี,73030000
Nakhon Luang,นครหลวง,14030000
Nakhon Thai,นครไทย,65020000
Nam Khun,น้ำขุ่น,34330000
Nam Kliang,น้ำเกลี้ยง,33150000
Nam Nao,น้ำหนาว,67090000
Nam Pat,น้ำปาด,53040000
Nam Phong,น้ำพอง,40070000
Nam Som,น้ำโสม,41180000
Nam Yuen,น้ำยืน,34090000
Nang Rong,นางรอง,31040000
Ngao,งาว,52050000
Nikhom Kham Soi,นิคมคำสร้อย,49020000
Nikhom Nam un,นิคมน้ำอูน,47070000
Nikhom Phatthana,นิคมพัฒนา,21080000
Noen Kham,เนินขาม,18080000
Noen Maprang,เนินมะปราง,65090000
Noen Sa-nga,เนินสง่า,36150000
Non Daeng,โนนแดง,30240000
Non Din Daeng,โนนสุวรรณ,31170000
Non Din Daeng,โนนดินแดง,31200000
Non Khun,โนนคูณ,33130000
Non Narai,โนนนารายณ์,32170000
Non Sa-at,โนนสะอาด,41050000
Non Sang,โนนสัง,39030000
Non Sila,โนนศิลา,40250000
Non Sung,โนนสูง,30100000
Non Thai,โนนไทย,30090000
Nong Bua,หนองบัว,60040000
Nong Bua Daeng,หนองบัวแดง,36050000
Nong Bua Rawe,หนองบัวระเหว,36080000
Nong Bunmak,หนองบุญมาก,30220000
Nong Chang,หนองฉาง,61040000
Nong Chik,หนองจิก,94030000
Nong Chok,เขตหนองจอก,10030000
Nong Don,หนองโดน,19080000
Nong Hi,หนองฮี,45190000
Nong Hin,หนองหิน,42140000
Nong Hong,หนองหงส์,31140000
Nong Khae,หนองแค,19030000
Nong Khaem,เขตหนองแขม,10230000
Nong Khayang,หนองขาหย่าง,61050000
Nong Ki,หนองกี่,31050000
Nong Kung Si,หนองกุงศรี,46120000
Nong Mamong,หนองมะโมง,18070000
Nong Muang,หนองม่วง,16110000
Nong Muang Khai,หนองม่วงไข่,54080000
Nong Na Kham,หนองนาคำ,40230000
Nong Phai,หนองไผ่,67070000
Nong Phok,หนองพอก,45090000
Nong Prue,หนองปรือ,71120000
Nong Ruea,หนองเรือ,40040000
Nong Saeng,หนองแสง,41210000
Nong Saeng,หนองหาน,41060000
Nong Saeng,หนองแซง,19050000
Nong Song Hong,หนองสองห้อง,40150000
Nong Suea,หนองเสือ,13040000
Nong Sung,หนองสูง,49070000
Nong Wua So,หนองวัวซอ,41030000
Nong Ya Plong,หนองหญ้าปล้อง,76030000
Nong Ya Sai,หนองหญ้าไซ,72100000
Nong Yai,หนองใหญ่,20030000
Nopphitam,นบพิตำ,80210000
Nuea Khlong,เหนือคลอง,81080000
Omkoi,อมก๋อย,50180000
Ongkharak,องครักษ์,26040000
Pa Bon,ป่าบอน,93080000
Pa Daet,ป่าแดด,57060000
Pa Mok,ป่าโมก,15030000
Pa Phayom,ป่าพะยอม,93100000
Pa Sang,ป่าซาง,51060000
Pa Tio,ป่าติ้ว,35050000
Pai,ปาย,58030000
Pak Chom,ปากชม,42040000
Pak Chong,ปากช่อง,30210000
Pak Khat,ปากคาด,38050000
Pak Kret,ปากเกร็ด,12060000
Pak Phanang,ปากพนัง,80120000
Pak Phayun,ปากพะยูน,93060000
Pak Phli,ปากพลี,26020000
Pak Tho,ปากท่อ,70080000
Pak Thong Chai,ปักธงชัย,30140000
Pakham,ปะคำ,31120000
Palian,ปะเหลียน,92040000
Panare,ปะนาเระ,94040000
Pang Mapha,ปางมะผ้า,58070000
Pang Sila Thong,ปางศิลาทอง,62090000
Papoe,กะเปอร์,85030000
Pathio,ปะทิว,86030000
Pathum Rat,ปทุมรัตต์,45030000
Pathum Ratchawongsa,ปทุมราชวงศา,37030000
Pathum Wan,เขตปทุมวัน,10070000
Pha  Khao,ผาขาว,42120000
Phachi,ภาชี,14090000
Phaisali,ไพศาลี,60090000
Phak Hai,ผักไห่,14080000
Phakdi Chumphon,ภักดีชุมพล,36140000
Phan,พาน,57050000
Phan Thong,พานทอง,20050000
Phana,พนา,37040000
Phanat Nikhom,พนัสนิคม,20060000
Phanh khon,พังโคน,47050000
Phanna Nikhom,พรรณานิคม,47040000
Phanom,พนม,84100000
Phanom Dong Rak,พนมดงรัก,32140000
Phanom Phrai,พนมไพร,45060000
Phanom Sarakham,พนมสารคาม,24060000
Phanom Thuan,พนมทวน,71090000
Phasi Charoen,เขตภาษีเจริญ,10220000
Phato,พะโต๊ะ,86060000
Phatthana Nikhom,พัฒนานิคม,16020000
Phaya Mengrai,พญาเม็งราย,57120000
Phaya Thai,เขตพญาไท,10140000
Phayakkhaphum Phisai,พยัคฆภูมิพิสัย,44080000
Phayu,พยุห์,33200000
Phayuha Hkiri,พยุหะคีรี,60100000
Phen,เพ็ญ,41190000
Phibun Mangsahan,พิบูลมังสาหาร,34190000
Phibun Rak,พิบูลย์รักษ์,41230000
Phichai,พิชัย,53070000
Phimai,พิมาย,30150000
Phipun,พิปูน,80050000
Phlapphla Chai,พลับพลาชัย,31150000
Pho Chai,โพธิ์ชัย,45080000
Pho Prathap Chang,โพธิ์ประทับช้าง,66030000
Pho Sai,โพธิ์ไทร,34210000
Pho Si Suwan,โพธิ์ศรีสุวรรณ,33210000
Pho Tak,โพธิ์ตาก,43170000
Pho Thale,โพทะเล,66060000
Pho Thong,โพธิ์ทอง,15040000
Phon,พล,40120000
Phon Charoen,พรเจริญ,38020000
Phon Na Kaeo,โพนนาแก้ว,47170000
Phon Phisai,โพนพิสัย,43050000
Phon Sai,โพนทราย,45130000
Phon Sawan,โพนสวรรค์,48100000
Phon Thong,โพนทอง,45070000
Phop Phra,พบพระ,63070000
Photharam,โพธาราม,70070000
Phra Khanong,เขตพระโขนง,10090000
Phra Nakhon,เขตพระนคร,10010000
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,14010000
Phra Phrom,พระพรหม,80200000
Phra Phutthabat,พระพุทธบาท,19090000
Phra Pradaeng,พระประแดง,11040000
Phra Samut Chedi,พระสมุทรเจดีย์,11050000
Phra Thong Kham,พระทองคำ,30280000
Phra Yuen,พระยืน,40030000
Phrai Bueng,ไพรบึง,33060000
Phran Kratai,พรานกระต่าย,62060000
Phrao,พร้าว,50110000
Phrasaeng,พระแสง,84160000
Phrom Buri,พรหมบุรี,17040000
Phrom Khiri,พรหมคีรี,80020000
Phrom Phiram,พรหมพิราม,65060000
Phu Khiao,ภูเขียว,36100000
Phu Kradueng,ภูกระดึง,42100000
Phu Luang,ภูหลวง,42110000
Phu Phaman,ภูผาม่าน,40200000
Phu Phan,ภูพาน,47180000
Phu Phiang,ภูเพียง,55140000
Phu Ruea,ภูเรือ,42070000
Phu Sing,ภูสิงห์,33170000
Phu Wiang,ภูเวียง,40160000
Phunphin,พุนพิน,84170000
Phutthaisong,พุทไธสง,31090000
Phutthamonthon,พุทธมณฑล,73070000
Pla Pak,ปลาปาก,48020000
Plai Phraya,ปลายพระยา,81060000
Pleang Yao,แปลงยาว,24090000
Pluak Daeng,ปลวกแดง,21060000
Pom Prap Sattruphai,เขตป้อมปราบศัตรูพ่าย,10080000
Akat Amnuai,อากาศอำนวย,47110000
Amphawa,อัมพวา,75030000
Ao Luek,อ่าวลึก,81050000
Aranyaprathet,อรัญประเทศ,27060000
At Samat,อาจสามารถ,45140000
Bamnet Narong,บำเหน็จณรงค์,36070000
Ban Bueng,บ้านบึง,20020000
Ban Chang,บ้านฉาง,21020000
Ban Dan,บ้านด่าน,31210000
Ban Dan Lan Hoi,บ้านด่านลานหอย,64020000
Ban Dung,บ้านดุง,41110000
Ban Fang,บ้านฝาง,40020000
Ban Haet,บ้านแฮด,40240000
Ban Hong,บ้านโฮ่ง,51030000
Ban Kha,บ้านคา,70100000
Ban Khai,บ้านค่าย,21050000
Ban Khok,บ้านโคก,53060000
Ban Khwao,บ้านเขว้า,36020000
Ban Kruat,บ้านกรวด,31080000
Ban Laem,บ้านแหลม,76070000
Ban Lat,บ้านลาด,76060000
Ban Luang,บ้านหลวง,55030000
Ban Lueam,บ้านเหลื่อม,30050000
Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,31190000
Ban Mi,บ้านหมี่,16060000
Ban Mo,บ้านหมอ,19060000
Ban Muang,บ้านม่วง,47100000
Ban Na,บ้านนา,26030000
Ban Na Doem,บ้านนาเดิม,84130000
Ban Na San,บ้านนาสาร,84120000
Ban Phaeng,บ้านแพง,48040000
Ban Phaeo,บ้านแพ้ว,74030000
Ban Phai,บ้านไผ่,40100000
Ban Pho,บ้านโพธิ์,24050000
Ban Phraek,บ้านแพรก,14160000
Ban Phue,บ้านผือ,41170000
Ban Pong,บ้านโป่ง,70050000
Ban Rai,บ้านไร่,61060000
Ban Sang,บ้านสร้าง,25060000
Ban Ta Khun,บ้านตาขุน,84090000
Ban Tak,บ้านตาก,63020000
Ban Thaen,บ้านแท่น,36110000
Ban Thi,บ้านธิ,51070000
Bang Ban,บางบาล,14050000
Bang Bo,บางบ่อ,11020000
Bang Bon,เขตบางบอน,10500000
Bang Bua Thong,บางบัวทอง,12040000
Bang Kaeo,บางแก้ว,93090000
Bang Kapi,เขตบางกะปิ,10060000
Bang Khae,เขตบางแค,10400000
Bang Khan,บางขัน,80170000
Bang Khen,เขตบางเขน,10050000
Bang Khla,บางคล้า,24020000
Bang Kho Laem,เขตบางคอแหลม,10310000
Bang Khonthi,บางคนที,75020000
Bang Khun Thian,เขตบางขุนเทียน,10210000
Bang Klam,บางกล่ำ,90140000
Bang Krathum,บางกระทุ่ม,65050000
Bang Kruai,บางกรวย,12020000
Bang Lamung,บางละมุง,20040000
Bang Len,บางเลน,73050000
Bang Mun Nak,บางมูลนาก,66050000
Bang Na,เขตบางนา,10470000
Bang Nam Priao,บางน้ำเปรี้ยว,24030000
Bang Pa-in,บางปะอิน,14060000
Bang Pahan,บางปะหัน,14070000
Bang Pakong,บางปะกง,24040000
Bang Phae,บางแพ,70060000
Bang Phlat,เขตบางพลัด,10250000
Bang Phli,บางพลี,11030000
Bang Pla Ma,บางปลาม้า,72040000
Bang Rachan,บางระจัน,17020000
Bang Rak,เขตบางรัก,10040000
Bang Rakam,บางระกำ,65040000
Bang Sai,บางซ้าย,14130000
Bang Sai,บางไทร,14040000
Bang Sao Thong,บางเสาธง,11060000
Bang Saphan,บางสะพาน,77040000
Bang Saphan Noi,บางสะพานน้อย,77050000
Bang Su,เขตบางซื่อ,10290000
Bang Yai,บางใหญ่,12030000
Bangkok Noi,เขตบางกอกน้อย,10200000
Bangkok Yai,เขตบางกอกใหญ่,10160000
Bannang Sata,บันนังสตา,95030000
Banphot Phisai,บรรพตพิสัย,60050000
Benchalak,เบญจลักษ์,33190000
Betong,เบตง,95020000
Bo Kluea,บ่อเกลือ,55120000
Bo Phloi,บ่อพลอย,71030000
Bo Rai,บ่อไร่,23040000
Bo Thong,บ่อทอง,20100000
Boontharik,บุณฑริก,34100000
Borabue,บรบือ,44060000
Bua Lai,บัวลาย,30300000
Bua Yai,บัวใหญ่,30120000
Buachet,บัวเชด,32130000
Bueng Bun,บึงบูรพ์,33110000
Bueng Kan,เมืองบึงกาฬ,38010000
Bueng Khong Long,บึงโขงหลง,38060000
Bueng Na Rang,บึงนาราง,66100000
Bueng Sam Phan,บึงสามพัน,67080000
Bueng Samakkhi,บึงสามัคคี,62100000
Bung Khla,บุ่งคล้า,38080000
Bung Kum,เขตบึงกุ่ม,10270000
Cha-am,ชะอำ,76040000
Cha-uat,ชะอวด,80070000
Chae Hom,แจ้ห่ม,52060000
Chai Badan,ชัยบาดาล,16040000
Chai Buri,ชัยบุรี,84180000
Chai Buri,วิภาวดี,84190000
Chai Prakan,ไชยปราการ,50210000
Chai Wan,ไชยวาน,41080000
Chaiya,ไชยา,84060000
Chaiyo,ไชโย,15020000
Chakkarat,จักราช,30060000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,31230000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,30320000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,19130000
Chaloem Phra Kiet,เฉลิมพระเกียรติ,80230000
